"","LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
"103086","58.98933","-170.48467","M-21","41","1992","07/12/1992 16:00","0.5515","14.7906","Arctic cod","Boreogadus saida","21725","70","-1.2","6.6","37","199201","122"
"103661","61.3295","-175.6665","T-28","90","1991","08/07/1991 12:00","0.2075","7.3195","Arctic cod","Boreogadus saida","21725","102","-1.4","10.6","78","199101","190"
"103803","61.3455","-173.55467","T-25","82","1991","07/29/1991 11:00","0.185","5.5076","Arctic cod","Boreogadus saida","21725","73","-1.6","9.7","37","199101","160"
"103811","61.34767","-175.006","T-27","82","1991","08/06/1991 12:00","0.0513","2.4851","Arctic cod","Boreogadus saida","21725","91","-1.5","10.3","78","199101","185"
"104034","61.35767","-174.33267","T-26","82","1991","07/29/1991 09:00","0.4908","19.6727","Arctic cod","Boreogadus saida","21725","80","-1.5","9.5","78","199101","160"
"104159","61.65383","-174.35417","U-26","82","1991","07/29/1991 06:00","0.5202","25.2339","Arctic cod","Boreogadus saida","21725","79","-1.6","9.4","78","199101","159"
"104249","61.67717","-173.66183","U-25","82","1991","07/29/1991 09:00","0.9934","48.6673","Arctic cod","Boreogadus saida","21725","70","-1.7","9.8","37","199101","159"
"104573","61.693","-175.15283","U-27","82","1991","08/06/1991 15:00","0.1244","4.2161","Arctic cod","Boreogadus saida","21725","90","-1.6","11.2","78","199101","186"
"104607","61.91233","-175.25017","V-27","82","1991","08/06/1991 17:00","0.2449","9.2881","Arctic cod","Boreogadus saida","21725","88","-1.6","10.7","78","199101","187"
"104947","61.994","-174.57967","V-26","82","1991","07/28/1991 16:00","25.811","1052.6667","Arctic cod","Boreogadus saida","21725","75","-1.7","10","78","199101","158"
"105104","62.01117","-173.69017","V-25","82","1991","07/29/1991 06:00","0.5687","24.768","Arctic cod","Boreogadus saida","21725","60","-1.6","9.7","37","199101","158"
"106116","59.67717","-172.5755","O-24","43","1992","07/14/1992 09:00","0.0274","0.8058","Arctic cod","Boreogadus saida","21725","86","-1.4","6.7","87","199201","115"
"106204","60.65617","-174.13283","R-26","41","1992","07/25/1992 14:00","0.0082","0.3652","Arctic cod","Boreogadus saida","21725","86","-1.2","7.9","87","199201","146"
"106260","59.6805","-167.289","O-02","20","1992","06/29/1992 13:00","0.0111","0.2477","Arctic cod","Boreogadus saida","21725","31","3.9","4.8","87","199201","62"
"106297","60.65633","-173.468","R-25","41","1992","07/25/1992 15:00","0.0094","0.2079","Arctic cod","Boreogadus saida","21725","64","-9999","8.1","37","199201","148"
"106336","60.664","-172.06617","R-23","41","1992","07/26/1992 10:00","0.3747","10.4648","Arctic cod","Boreogadus saida","21725","60","-1.5","8.5","87","199201","148"
"106390","59.683","-171.9045","O-23","43","1992","07/14/1992 07:00","1.5857","39.6473","Arctic cod","Boreogadus saida","21725","77","-1.5","6.2","37","199201","129"
"106437","59.80267","-172.85967","PO2524","43","1992","07/14/1992 07:00","0.0323","1.0645","Arctic cod","Boreogadus saida","21725","80","-9999","7.2","87","199201","114"
"106445","60.6665","-172.73967","R-24","41","1992","07/26/1992 12:00","0.2633","3.8043","Arctic cod","Boreogadus saida","21725","42","1.6","6.6","87","199201","149"
"106471","60.66933","-171.4135","R-22","41","1992","07/26/1992 07:00","0.4462","12.2415","Arctic cod","Boreogadus saida","21725","62","-1.6","8.5","87","199201","147"
"106623","59.8215","-174.2335","PO2726","62","1992","07/24/1992 17:00","0.0085","0.1885","Arctic cod","Boreogadus saida","21725","108","-0.3","8.4","87","199201","142"
"106836","59.848","-172.24917","PO2423","43","1992","07/13/1992 20:00","0.6721","16.511","Arctic cod","Boreogadus saida","21725","73","-1.5","6.5","37","199201","128"
"106892","60.98617","-171.4825","S-22","41","1992","07/26/1992 07:00","0.3136","8.0957","Arctic cod","Boreogadus saida","21725","59","-1.5","8.7","37","199201","149"
"106916","60.9885","-174.18417","S-26","41","1992","07/26/1992 18:00","0.0264","0.3879","Arctic cod","Boreogadus saida","21725","84","-1.3","8.4","87","199201","150"
"106941","60.9885","-172.81667","S-24","41","1992","07/26/1992 13:00","0.0438","0.3857","Arctic cod","Boreogadus saida","21725","64","-0.9","7.6","37","199201","151"
"107001","59.32167","-170.535","N-21","41","1992","07/12/1992 19:00","0.7774","26.844","Arctic cod","Boreogadus saida","21725","66","-1.1","6.2","37","199201","123"
"107016","59.98483","-171.28133","P-22","41","1992","07/12/1992 18:00","1.1768","40.6093","Arctic cod","Boreogadus saida","21725","70","-1.5","6.7","87","199201","108"
"107072","59.9875","-170.6365","P-21","41","1992","07/13/1992 10:00","0.7211","32.853","Arctic cod","Boreogadus saida","21725","64","-0.9","5.9","37","199201","125"
"107085","59.98817","-173.299","P-25","43","1992","07/25/1992 07:00","0.7211","17.8042","Arctic cod","Boreogadus saida","21725","73","-9999","8.1","37","199201","145"
"107316","61.00867","-172.166","S-23","41","1992","07/26/1992 10:00","0.9216","20.8961","Arctic cod","Boreogadus saida","21725","62","-1.4","8.2","37","199201","150"
"107514","59.99917","-172.636","P-24","43","1992","07/13/1992 15:00","0.2495","7.2618","Arctic cod","Boreogadus saida","21725","66","-1.3","7.2","87","199201","112"
"107576","61.31917","-174.316","T-26","82","1992","07/27/1992 07:00","0.0191","0.8385","Arctic cod","Boreogadus saida","21725","79","-1.4","8.6","87","199201","151"
"107585","61.32467","-173.53333","T-25","82","1992","07/26/1992 18:00","0.2678","5.7068","Arctic cod","Boreogadus saida","21725","71","-1.5","8.7","37","199201","153"
"107615","59.33367","-171.17633","N-22","41","1992","07/12/1992 10:00","0.9786","43.1465","Arctic cod","Boreogadus saida","21725","75","-1.5","6.1","87","199201","106"
"107864","59.34317","-171.833","N-23","43","1992","07/14/1992 09:00","0.1366","2.6109","Arctic cod","Boreogadus saida","21725","79","-1.5","6.2","37","199201","130"
"107910","60.0125","-171.9655","P-23","43","1992","07/13/1992 18:00","0.1897","3.7654","Arctic cod","Boreogadus saida","21725","64","-1.4","6.5","37","199201","127"
"107933","60.13217","-173.56667","QP2625","43","1992","07/25/1992 10:00","0.177","2.6025","Arctic cod","Boreogadus saida","21725","73","-9999","7.8","37","199201","146"
"107990","61.6545","-173.58417","U-25","82","1992","07/27/1992 07:00","0.3795","9.2043","Arctic cod","Boreogadus saida","21725","68","-1.5","8.6","37","199201","154"
"108011","61.66183","-174.98267","U-27","82","1992","07/27/1992 18:00","1.3088","30.0483","Arctic cod","Boreogadus saida","21725","82","-1.6","8.4","37","199201","158"
"108084","59.34517","-167.2695","N-02","20","1992","06/29/1992 16:00","0.0434","1.6786","Arctic cod","Boreogadus saida","21725","29","4.5","5.2","87","199201","63"
"108213","61.67833","-174.432","U-26","82","1992","07/27/1992 16:00","1.1623","23.5421","Arctic cod","Boreogadus saida","21725","75","-1.6","8.8","37","199201","157"
"108221","61.9875","-175","V-27","82","1992","07/28/1992 07:00","0.142","2.2967","Arctic cod","Boreogadus saida","21725","77","-1.6","8.8","37","199201","159"
"108408","61.9885","-173.58133","V-25","82","1992","07/27/1992 10:00","0.1432","5.8956","Arctic cod","Boreogadus saida","21725","60","-1.5","8.5","37","199201","155"
"108411","62.0095","-174.46517","V-26","82","1992","07/27/1992 13:00","0.4243","6.8596","Arctic cod","Boreogadus saida","21725","70","-1.6","8.4","37","199201","156"
"108453","62.01117","-175.83117","V-28","82","1992","07/28/1992 10:00","0.4404","7.7669","Arctic cod","Boreogadus saida","21725","90","-1.5","8.4","37","199201","160"
"108482","59.50033","-172.88217","ON2524","43","1992","07/14/1992 11:00","0.0172","0.3779","Arctic cod","Boreogadus saida","21725","93","-1.3","6.7","87","199201","116"
"108533","60.32067","-174.06517","Q-26","43","1992","07/25/1992 12:00","0.0085","0.1889","Arctic cod","Boreogadus saida","21725","90","-1.3","-9999","87","199201","145"
"108561","60.32183","-170.666","Q-21","41","1992","07/13/1992 13:00","1.5181","46.4397","Arctic cod","Boreogadus saida","21725","60","-1.4","6.8","37","199201","126"
"108624","59.63833","-165.972","O-04","20","1992","06/28/1992 17:00","0.2921","40.0468","Arctic cod","Boreogadus saida","21725","22","7.7","8","87","199201","60"
"108643","59.654","-170.5855","O-21","41","1992","07/13/1992 07:00","0.484","23.0477","Arctic cod","Boreogadus saida","21725","66","-1.2","5.9","37","199201","124"
"108695","60.32533","-171.35817","Q-22","41","1992","07/13/1992 07:00","1.2752","33.8203","Arctic cod","Boreogadus saida","21725","66","-1.5","6.8","87","199201","109"
"108937","59.65817","-171.21","O-22","41","1992","07/12/1992 13:00","2.4994","94.6941","Arctic cod","Boreogadus saida","21725","71","-1.6","6.6","87","199201","107"
"109004","60.358","-167.30917","Q-02","20","1992","06/29/1992 07:00","0.0436","0.9644","Arctic cod","Boreogadus saida","21725","27","3.2","3.7","87","199201","61"
"113417","60.013","-171.97783","P-23","43","1993","07/07/1993 08:00","0.0281","1.2384","Arctic cod","Boreogadus saida","21725","66","1.1","6","88","199301","132"
"113434","60.01333","-171.30517","P-22","41","1993","07/07/1993 06:00","0.0084","0.1856","Arctic cod","Boreogadus saida","21725","68","-9999","6.1","89","199301","121"
"114092","59.84167","-172.23733","PO2423","43","1993","07/07/1993 10:00","0.0477","2.9391","Arctic cod","Boreogadus saida","21725","73","-0.1","7","88","199301","133"
"114741","59.6875","-171.90833","O-23","43","1993","07/07/1993 12:00","0.0508","0.5599","Arctic cod","Boreogadus saida","21725","77","-0.1","7.1","88","199301","134"
"114808","59.35633","-171.18517","N-22","41","1993","07/07/1993 11:00","0.0176","0.3874","Arctic cod","Boreogadus saida","21725","73","0.3","6.1","89","199301","123"
"116885","60.6635","-174.10367","R-26","41","1993","07/19/1993 15:00","0.0333","1.1046","Arctic cod","Boreogadus saida","21725","84","0.5","7.3","89","199301","156"
"116916","60.66667","-171.4245","R-22","41","1993","07/06/1993 07:00","0.0086","0.5767","Arctic cod","Boreogadus saida","21725","64","0.4","6.5","88","199301","126"
"117052","60.6785","-172.10617","R-23","41","1993","07/06/1993 14:00","0.0632","8.882","Arctic cod","Boreogadus saida","21725","66","-0.8","6.6","88","199301","129"
"117165","60.98667","-171.4845","S-22","41","1993","07/06/1993 09:00","0.0519","3.2452","Arctic cod","Boreogadus saida","21725","59","0.6","6.5","88","199301","127"
"117232","60.99467","-174.18633","S-26","41","1993","07/20/1993 07:00","0.0171","0.5639","Arctic cod","Boreogadus saida","21725","82","0.4","6.9","89","199301","157"
"117276","60.9955","-173.50283","S-25","41","1993","07/19/1993 10:00","0.0201","0.6639","Arctic cod","Boreogadus saida","21725","73","-0.6","7.8","88","199301","170"
"117423","61.01533","-172.15233","S-23","41","1993","07/06/1993 11:00","0.2816","31.0434","Arctic cod","Boreogadus saida","21725","62","-0.7","6.6","88","199301","128"
"117519","61.30317","-174.3015","T-26","82","1993","07/20/1993 10:00","0.0293","0.6474","Arctic cod","Boreogadus saida","21725","77","-0.7","7.2","89","199301","158"
"117583","61.31617","-173.5395","T-25","82","1993","07/20/1993 07:00","0.7658","37.9827","Arctic cod","Boreogadus saida","21725","73","-1.4","8.5","88","199301","173"
"117780","61.63683","-173.58833","U-25","82","1993","07/20/1993 09:00","0.7427","60.0385","Arctic cod","Boreogadus saida","21725","68","2.2","8.7","88","199301","174"
"117871","61.65817","-174.4115","U-26","82","1993","07/20/1993 12:00","0.3176","14.7996","Arctic cod","Boreogadus saida","21725","75","-1.5","7.8","89","199301","159"
"117918","61.67167","-174.9355","U-27","82","1993","07/20/1993 14:00","0.1222","2.5163","Arctic cod","Boreogadus saida","21725","80","-1.3","8.1","89","199301","160"
"117937","60.33383","-170.6385","Q-21","41","1993","07/06/1993 14:00","0.0089","0.197","Arctic cod","Boreogadus saida","21725","59","0.9","6.2","89","199301","119"
"117960","60.334","-171.33117","Q-22","41","1993","07/06/1993 16:00","0.0451","2.3845","Arctic cod","Boreogadus saida","21725","64","0.1","6.4","89","199301","120"
"118050","61.97383","-173.58633","V-25","82","1993","07/20/1993 12:00","0.1729","19.2804","Arctic cod","Boreogadus saida","21725","60","-1.2","9","88","199301","175"
"118164","61.99817","-174.98","V-27","82","1993","07/20/1993 17:00","2.1007","137.3678","Arctic cod","Boreogadus saida","21725","77","-9999","9.4","88","199301","177"
"118185","62.00567","-174.4385","V-26","82","1993","07/20/1993 15:00","0.5306","45.7417","Arctic cod","Boreogadus saida","21725","71","-1.4","9.5","88","199301","176"
"118840","59.005","-171.79","M-23","41","1994","07/04/1994 11:00","0.1818","6.0146","Arctic cod","Boreogadus saida","21725","86","-9999","6.6","88","199401","134"
"118972","58.33417","-167.863","K-01","41","1994","06/24/1994 14:00","0.0213","0.4684","Arctic cod","Boreogadus saida","21725","59","-0.7","5.1","89","199401","83"
"118998","58.34017","-169.11133","K-19","41","1994","06/28/1994 09:00","0.0923","0.9044","Arctic cod","Boreogadus saida","21725","66","-1.1","5.9","89","199401","101"
"119097","59.005","-169.82867","M-20","41","1994","06/27/1994 16:00","0.4991","22.4421","Arctic cod","Boreogadus saida","21725","62","-9999","5.3","88","199401","98"
"119262","58.3415","-169.74517","K-20","41","1994","06/28/1994 08:00","0.1078","0.4319","Arctic cod","Boreogadus saida","21725","68","-9999","5.8","88","199401","100"
"119393","59.00967","-172.43267","M-24","41","1994","07/04/1994 13:00","0.1291","3.0636","Arctic cod","Boreogadus saida","21725","97","-0.3","6.4","89","199401","136"
"119588","58.65667","-171.07733","L-22","41","1994","07/02/1994 13:00","0.0194","0.4255","Arctic cod","Boreogadus saida","21725","82","-9999","5.6","88","199401","125"
"119641","58.65717","-170.43333","L-21","41","1994","07/02/1994 06:00","0.1125","2.9298","Arctic cod","Boreogadus saida","21725","73","-1.8","5.6","89","199401","122"
"119721","57.99033","-167.1715","J-02","31","1994","06/24/1994 06:00","0.0683","0.6443","Arctic cod","Boreogadus saida","21725","62","-0.3","5.1","88","199401","80"
"120479","58.665","-168.45333","L-18","20","1994","06/25/1994 06:00","0.0401","0.4436","Arctic cod","Boreogadus saida","21725","51","0.2","4","89","199401","85"
"120739","58.666","-169.79633","L-20","41","1994","06/28/1994 06:00","0.0848","1.8715","Arctic cod","Boreogadus saida","21725","66","-9999","5.9","88","199401","99"
"121056","58.675","-171.73717","L-23","41","1994","07/04/1994 13:00","0.3065","8.9381","Arctic cod","Boreogadus saida","21725","93","-9999","6.6","88","199401","135"
"121293","58.6755","-169.14933","L-19","41","1994","06/28/1994 06:00","0.1102","5.9622","Arctic cod","Boreogadus saida","21725","60","-1.2","5.5","89","199401","100"
"121591","58.68167","-172.36467","L-24","61","1994","07/04/1994 15:00","0.1088","3.487","Arctic cod","Boreogadus saida","21725","101","0.2","6.3","89","199401","137"
"121994","58.31633","-170.3805","K-21","41","1994","07/01/1994 16:00","0.0371","0.8191","Arctic cod","Boreogadus saida","21725","73","-1.6","6","89","199401","121"
"122192","58.98867","-171.12017","M-22","41","1994","07/02/1994 15:00","0.3529","11.1451","Arctic cod","Boreogadus saida","21725","79","-9999","-9999","88","199401","126"
"122335","58.326","-171.021","K-22","41","1994","07/02/1994 11:00","0.0379","0.2092","Arctic cod","Boreogadus saida","21725","84","-9999","5.3","88","199401","124"
"122481","58.9935","-170.47633","M-21","41","1994","07/02/1994 08:00","0.1926","5.9464","Arctic cod","Boreogadus saida","21725","70","-1.8","5.3","89","199401","123"
"125040","61.66317","-173.67","U-25","82","1994","07/19/1994 11:00","1.7797","135.702","Arctic cod","Boreogadus saida","21725","70","-1.4","6.8","88","199401","176"
"125070","61.6725","-175.09167","U-27","82","1994","07/20/1994 09:00","2.2","84.4988","Arctic cod","Boreogadus saida","21725","84","-1.4","6.9","88","199401","179"
"125171","60.31883","-173.42167","Q-25","43","1994","07/09/1994 11:00","0.1042","3.7603","Arctic cod","Boreogadus saida","21725","62","-9999","5.7","88","199401","157"
"125230","60.32967","-171.3375","Q-22","41","1994","07/03/1994 08:00","4.0757","198.0152","Arctic cod","Boreogadus saida","21725","64","-2.1","4.7","89","199401","128"
"125251","61.67717","-174.44833","U-26","82","1994","07/20/1994 08:00","1.7421","75.3141","Arctic cod","Boreogadus saida","21725","75","-2.1","7","89","199401","178"
"125278","61.98233","-175.83283","V-28","82","1994","07/21/1994 14:00","0.6854","20.495","Arctic cod","Boreogadus saida","21725","91","-1.8","6.3","89","199401","184"
"125330","59.67133","-174.45717","O-27","62","1994","07/10/1994 14:00","0.106","4.2491","Arctic cod","Boreogadus saida","21725","113","-9999","6.7","88","199401","163"
"125391","60.33233","-172.027","Q-23","43","1994","07/03/1994 11:00","0.0706","1.1101","Arctic cod","Boreogadus saida","21725","59","-2","5.4","89","199401","129"
"125427","60.33317","-170.6425","Q-21","41","1994","07/03/1994 06:00","1.8901","72.923","Arctic cod","Boreogadus saida","21725","60","-2","5.3","89","199401","127"
"125458","61.9935","-173.75383","V-25","82","1994","07/19/1994 14:00","0.3102","21.8397","Arctic cod","Boreogadus saida","21725","60","-1.4","7.1","88","199401","177"
"125471","62.00617","-175.15267","V-27","82","1994","07/20/1994 06:00","20.0527","959.6711","Arctic cod","Boreogadus saida","21725","80","-1.4","6.5","88","199401","178"
"125499","62.017","-174.63217","V-26","82","1994","07/20/1994 06:00","1.4887","62.0215","Arctic cod","Boreogadus saida","21725","73","-2.1","6.5","89","199401","177"
"125574","59.675","-169.914","O-20","41","1994","06/27/1994 11:00","2.032","85.8261","Arctic cod","Boreogadus saida","21725","55","-9999","5.2","88","199401","96"
"125641","60.337","-174.72033","Q-27","62","1994","07/10/1994 09:00","1.1618","42.55","Arctic cod","Boreogadus saida","21725","104","-9999","5.6","88","199401","161"
"125715","59.01567","-169.1625","M-19","41","1994","06/27/1994 15:00","0.2937","4.9132","Arctic cod","Boreogadus saida","21725","51","0.3","5.4","89","199401","99"
"125781","59.67617","-171.9195","O-23","43","1994","07/04/1994 06:00","0.2568","15.4648","Arctic cod","Boreogadus saida","21725","77","-9999","6.9","88","199401","132"
"125802","59.678","-172.56617","O-24","43","1994","07/04/1994 06:00","0.1354","3.2126","Arctic cod","Boreogadus saida","21725","84","-1.3","6.2","89","199401","133"
"125840","60.341","-169.33333","Q-19","20","1994","06/27/1994 06:00","1.4957","98.235","Arctic cod","Boreogadus saida","21725","40","-1.3","5.2","89","199401","95"
"125861","60.34283","-176.04233","Q-29","61","1994","07/22/1994 14:00","0.0369","2.5326","Arctic cod","Boreogadus saida","21725","121","1.7","7.2","88","199401","189"
"126009","59.68967","-169.26317","O-19","20","1994","06/27/1994 11:00","0.1596","8.2131","Arctic cod","Boreogadus saida","21725","46","0.7","5","89","199401","97"
"126040","60.34333","-175.38517","Q-28","61","1994","07/10/1994 08:00","0.1176","3.3892","Arctic cod","Boreogadus saida","21725","112","0.3","5.4","89","199401","163"
"126075","60.35667","-177.39283","Q-31","61","1994","07/22/1994 15:00","0.0366","1.0104","Arctic cod","Boreogadus saida","21725","150","1.4","6.6","89","199401","188"
"126093","60.64683","-174.12733","R-26","41","1994","07/09/1994 14:00","0.172","7.0653","Arctic cod","Boreogadus saida","21725","86","-2","6.1","89","199401","161"
"126124","59.32333","-171.17933","N-22","41","1994","07/03/1994 06:00","0.1722","5.9071","Arctic cod","Boreogadus saida","21725","75","-9999","5.9","88","199401","127"
"126160","59.32483","-170.5295","N-21","41","1994","07/02/1994 11:00","2.2131","100.57","Arctic cod","Boreogadus saida","21725","66","-1.7","5.7","89","199401","124"
"126176","59.81683","-174.2085","PO2726","62","1994","07/08/1994 17:00","0.5121","16.7427","Arctic cod","Boreogadus saida","21725","106","0","5.9","89","199401","156"
"126200","59.83233","-173.5765","PO2625","43","1994","07/08/1994 18:00","0.2247","9.4932","Arctic cod","Boreogadus saida","21725","95","-9999","6.2","88","199401","154"
"126270","60.65917","-171.43717","R-22","41","1994","07/18/1994 09:00","0.8588","26.857","Arctic cod","Boreogadus saida","21725","62","-1.4","7.7","88","199401","170"
"126281","60.66167","-173.48567","R-25","41","1994","07/09/1994 14:00","1.2685","65.324","Arctic cod","Boreogadus saida","21725","64","-9999","5.5","88","199401","158"
"126343","59.3265","-173.804","N-26","62","1994","07/08/1994 11:00","0.0658","0.6209","Arctic cod","Boreogadus saida","21725","110","0.7","5.9","89","199401","153"
"126393","59.83633","-172.2425","PO2423","43","1994","07/03/1994 16:00","0.4438","19.3437","Arctic cod","Boreogadus saida","21725","75","-9999","6.1","88","199401","131"
"126425","59.85417","-172.89867","PO2524","43","1994","07/03/1994 16:00","0.5996","20.0449","Arctic cod","Boreogadus saida","21725","77","-1.8","5.7","89","199401","132"
"126445","59.97883","-173.30367","P-25","43","1994","07/09/1994 06:00","0.4464","14.9721","Arctic cod","Boreogadus saida","21725","75","-9999","5.4","88","199401","155"
"126465","60.66417","-175.41733","R-28","61","1994","07/10/1994 06:00","0.0818","0.8021","Arctic cod","Boreogadus saida","21725","106","-0.2","5.5","89","199401","162"
"126483","60.66667","-172.121","R-23","41","1994","07/18/1994 07:00","0.7387","26.9964","Arctic cod","Boreogadus saida","21725","60","-1.4","7.2","88","199401","169"
"126508","60.66833","-172.78883","R-24","41","1994","07/09/1994 17:00","0.021","0.2309","Arctic cod","Boreogadus saida","21725","42","-9999","4.8","88","199401","159"
"126529","59.32783","-173.15067","N-25","43","1994","07/08/1994 14:00","0.0659","1.8662","Arctic cod","Boreogadus saida","21725","99","-9999","6","88","199401","152"
"126658","59.99067","-173.9715","P-26","43","1994","07/09/1994 06:00","0.1461","8.5939","Arctic cod","Boreogadus saida","21725","97","-0.5","6.1","89","199401","157"
"126704","60.66883","-176.82283","R-30","61","1994","07/22/1994 09:00","0.0377","1.4561","Arctic cod","Boreogadus saida","21725","130","1.5","6.9","88","199401","187"
"126733","60.67317","-176.20633","R-29","61","1994","07/22/1994 12:00","0.1081","2.815","Arctic cod","Boreogadus saida","21725","119","1.2","7.4","88","199401","188"
"126745","59.33517","-168.52267","N-18","20","1994","06/25/1994 18:00","0.0436","0.4814","Arctic cod","Boreogadus saida","21725","38","1.9","4.1","89","199401","89"
"126808","59.33833","-171.8355","N-23","43","1994","07/04/1994 09:00","0.179","7.8963","Arctic cod","Boreogadus saida","21725","79","-9999","6.2","88","199401","133"
"126842","59.996","-170.62833","P-21","41","1994","07/02/1994 15:00","2.5681","103.4652","Arctic cod","Boreogadus saida","21725","64","-2","5.9","89","199401","126"
"126867","59.99667","-171.9955","P-23","43","1994","07/03/1994 14:00","0.5143","30.4608","Arctic cod","Boreogadus saida","21725","66","-9999","5.9","88","199401","130"
"126913","60.675","-177.54167","R-31","61","1994","07/22/1994 12:00","0.0972","2.3377","Arctic cod","Boreogadus saida","21725","146","1.3","7","89","199401","187"
"126945","60.6795","-174.8245","R-27","41","1994","07/10/1994 06:00","0.3079","12.4814","Arctic cod","Boreogadus saida","21725","99","-9999","5.5","88","199401","160"
"126986","59.339","-175.75683","N-29","61","1994","07/23/1994 13:00","0.0189","0.6241","Arctic cod","Boreogadus saida","21725","135","2","8.1","88","199401","193"
"127077","59.99933","-171.30167","P-22","41","1994","07/03/1994 11:00","1.3099","60.9887","Arctic cod","Boreogadus saida","21725","68","-9999","5.6","88","199401","129"
"127153","60.9885","-176.28167","S-29","90","1994","07/21/1994 06:00","0.0638","1.4046","Arctic cod","Boreogadus saida","21725","113","0.7","7.2","88","199401","182"
"127182","59.3405","-169.86283","N-20","41","1994","06/27/1994 13:00","0.416","16.0485","Arctic cod","Boreogadus saida","21725","59","-9999","4.9","88","199401","97"
"127206","59.34233","-172.501","N-24","43","1994","07/04/1994 10:00","0.4583","17.7893","Arctic cod","Boreogadus saida","21725","88","-1.2","6.6","89","199401","135"
"127261","60.001","-169.972","P-20","41","1994","06/27/1994 08:00","1.4587","73.5402","Arctic cod","Boreogadus saida","21725","53","-9999","4.4","88","199401","95"
"127282","60.00117","-168.60233","P-18","20","1994","06/26/1994 14:00","0.1269","5.0876","Arctic cod","Boreogadus saida","21725","37","-0.5","4.9","89","199401","93"
"127330","60.99883","-173.491","S-25","41","1994","07/19/1994 06:00","0.2456","14.1677","Arctic cod","Boreogadus saida","21725","75","-1.4","7.5","88","199401","174"
"127359","60.999","-172.80333","S-24","41","1994","07/18/1994 16:00","0.2156","20.0883","Arctic cod","Boreogadus saida","21725","66","-1.4","7.7","88","199401","173"
"127379","61","-175.5445","S-28","90","1994","07/21/1994 07:00","0.1727","7.6183","Arctic cod","Boreogadus saida","21725","102","-1.1","7.1","89","199401","181"
"127395","61","-171.47883","S-22","41","1994","07/18/1994 11:00","1.134","40.5754","Arctic cod","Boreogadus saida","21725","59","-1.4","8","88","199401","171"
"127440","59.34617","-176.379","N-30","61","1994","07/23/1994 16:00","0.0669","0.6314","Arctic cod","Boreogadus saida","21725","135","2.2","8","88","199401","194"
"127584","61.00033","-176.9695","S-30","90","1994","07/22/1994 07:00","0.215","7.3234","Arctic cod","Boreogadus saida","21725","123","1.4","6.8","88","199401","186"
"127668","59.4785","-173.52033","ON2625","43","1994","07/08/1994 13:00","0.0873","2.7826","Arctic cod","Boreogadus saida","21725","102","0.4","6.2","89","199401","154"
"127705","60.006","-174.59883","P-27","62","1994","07/10/1994 11:00","0.4182","18.6351","Arctic cod","Boreogadus saida","21725","108","-9999","6.2","88","199401","162"
"127714","60.0065","-169.31683","P-19","20","1994","06/27/1994 08:00","0.1536","7.9065","Arctic cod","Boreogadus saida","21725","42","-1.5","4.7","89","199401","96"
"127749","60.0085","-172.6385","P-24","43","1994","07/03/1994 15:00","0.2241","8.0844","Arctic cod","Boreogadus saida","21725","64","-1.9","5.7","89","199401","131"
"127756","61.0005","-172.15167","S-23","41","1994","07/18/1994 14:00","1.0379","43.1587","Arctic cod","Boreogadus saida","21725","62","-1.2","6.6","88","199401","172"
"127766","61.00867","-174.89267","S-27","82","1994","07/20/1994 14:00","0.9701","37.3709","Arctic cod","Boreogadus saida","21725","91","-1.4","7.7","88","199401","181"
"127786","61.011","-177.62217","S-31","90","1994","07/22/1994 07:00","0.0371","1.6402","Arctic cod","Boreogadus saida","21725","135","0.8","6.9","89","199401","185"
"127824","61.028","-174.18733","S-26","41","1994","07/20/1994 13:00","0.9595","54.2554","Arctic cod","Boreogadus saida","21725","80","-2.1","7.6","89","199401","180"
"127838","59.509","-172.86333","ON2524","43","1994","07/04/1994 08:00","0.4221","16.4954","Arctic cod","Boreogadus saida","21725","93","-1","5.9","89","199401","134"
"127866","59.63917","-168.60583","O-18","20","1994","06/26/1994 06:00","0.0951","2.3927","Arctic cod","Boreogadus saida","21725","37","0.3","4.9","89","199401","90"
"127894","59.64967","-165.93867","O-04","20","1994","06/14/1994 06:00","0.0205","0.2253","Arctic cod","Boreogadus saida","21725","20","5.5","5.6","88","199401","48"
"127914","60.013","-175.26967","P-28","61","1994","07/10/1994 11:00","0.2885","4.7189","Arctic cod","Boreogadus saida","21725","117","1","6.1","89","199401","164"
"127950","60.1155","-173.74733","QP2625","43","1994","07/09/1994 07:00","0.2096","10.2917","Arctic cod","Boreogadus saida","21725","88","-1","6","89","199401","158"
"127990","61.31433","-175.65917","T-28","90","1994","07/21/1994 09:00","0.0718","2.2574","Arctic cod","Boreogadus saida","21725","97","-1.4","7","89","199401","182"
"128037","61.326","-176.30283","T-29","90","1994","07/21/1994 09:00","0.1028","3.2958","Arctic cod","Boreogadus saida","21725","106","0.3","7.1","88","199401","183"
"128051","59.65167","-173.8505","O-26","62","1994","07/08/1994 15:00","0.8383","28.9603","Arctic cod","Boreogadus saida","21725","104","0","6.1","89","199401","155"
"128090","59.6545","-170.5715","O-21","41","1994","07/02/1994 13:00","2.0244","81.0715","Arctic cod","Boreogadus saida","21725","66","-1.7","6","89","199401","125"
